"country","year","cost_healthy_diet_ppp_usd","data_quality","gdp","inflation","exchange_rate","agriculture_share","trade_share","population","urban_share","matched_wdi"
"Philippines",2024,4.39,"Estimated value",10378.17177,2.904022932,57.29065507,9.08729576,65.86378839,115843670,55.45209832,TRUE
"South Africa",2017,3,"Estimated value",14573.59808,5.473321975,13.32380142,2.493798638,53.53593183,57635162,63.33110783,TRUE
"South Africa",2018,2.94,"Estimated value",14553.56157,3.993295085,13.23392647,2.260703827,54.48554513,58613001,63.37715452,TRUE
"South Africa",2019,2.94,"Estimated value",14352.66987,4.613524691,14.44842705,1.950321145,53.89799641,59587885,63.4127255,TRUE
"South Africa",2020,3,"Estimated value",13250.56666,5.391394335,16.45910539,2.578661222,50.75965908,60562381,63.43730883,TRUE
"South Africa",2021,3.14,"Estimated value",13681.95481,6.408442941,14.77867821,2.457871997,56.16471363,61502603,63.45039259,TRUE
"South Africa",2022,3.46,"Estimated value",13767.49676,5.240966696,16.35585348,2.60577485,64.9471344,62378410,63.47666992,TRUE
"South Africa",2023,3.76,"Estimated value",13695.37557,4.722302433,18.45024418,2.535171123,65.67987597,63212384,63.58237052,TRUE
"South Africa",2024,3.89,"Estimated value",13597.65385,3.916921003,18.32865755,2.81119527,61.64677047,64007187,63.69179849,TRUE
"Thailand",2017,4.27,"Estimated value",20096.86055,1.89994499,33.93981106,8.406412587,120.8914274,71160187,49.23119736,TRUE
"Thailand",2018,4.34,"Estimated value",20882.17074,1.428586164,32.31022574,8.201819262,120.8418647,71376079,54.58437347,TRUE
"Thailand",2019,4.5,"Estimated value",21280.15045,1.014423406,31.04760578,8.12856804,109.6895147,71522271,55.92661667,TRUE
"Thailand",2020,4.65,"Estimated value",19950.28441,-1.290445137,31.29367321,8.706104715,97.66244194,71641484,57.23587799,TRUE
"Thailand",2021,4.75,"Estimated value",20236.97604,1.777157108,31.97709344,8.695395582,117.1314722,71727332,58.50877762,TRUE
"Thailand",2022,5.17,"Estimated value",20768.48001,4.640706919,35.06135021,8.715890015,132.8134583,71735329,59.74237442,TRUE
"Thailand",2023,5.46,"Estimated value",21245.27068,1.253388871,34.80218858,8.555150038,128.7923597,71702435,60.93419266,TRUE
"Thailand",2024,5.65,"Estimated value",21882.21425,0.864531566,35.29353808,8.892265892,135.7249358,71668011,61.86893384,TRUE
